Student_ID,Branch,Python_Score,SQL_Score,Aptitude_Score,Communication_Score,Projects_Completed,Mock_Interviews_Attended
S0001,CSE,78,70,80,44,3,5
S0002,IT,81,77,78,56,1,5
S0003,CSE,80,73,75,46,5,2
S0004,ECE,48,42,47,21,3,4
S0005,CSE,95,75,70,42,1,2
S0006,CSE,73,60,81,40,2,5
S0007,ECE,53,31,50,30,4,2
S0008,IT,61,60,56,40,2,3
S0009,IT,98,84,88,43,4,3
S0010,MECH,63,61,64,58,3,0
S0011,ECE,64,49,47,61,3,2
S0012,ECE,91,65,84,72,4,6
S0013,CSE,71,69,81,37,3,4
S0014,IT,100,81,74,71,4,5
S0015,CSE,90,64,49,51,2,6
S0016,CSE,96,96,69,59,5,1
S0017,IT,68,54,35,36,2,3
S0018,CSE,88,83,67,48,4,4
S0019,IT,75,74,64,72,4,2
S0020,ECE,65,63,62,44,4,6
S0021,MECH,52,25,46,45,2,2
S0022,IT,68,53,72,75,5,3
S0023,CSE,60,62,42,20,1,1
S0024,CSE,50,46,44,7,2,1
S0025,CSE,57,68,67,33,4,2
S0026,IT,48,69,50,21,1,0
S0027,CSE,69,37,58,35,1,1
S0028,MECH,41,57,55,50,3,0
S0029,MECH,64,48,59,35,3,2
S0030,CSE,66,60,59,23,3,3
S0031,CSE,56,50,37,26,2,4
S0032,ECE,74,100,73,70,5,2
S0033,CSE,78,78,48,56,4,3
S0034,ECE,49,67,46,42,0,3
S0035,IT,44,47,35,43,2,4
S0036,IT,62,49,76,40,3,3
S0037,MECH,53,66,55,68,4,3
S0038,ECE,64,64,72,45,5,6
S0039,IT,41,9,52,53,1,2
S0040,IT,58,48,65,45,3,0
S0041,ECE,55,66,74,47,4,5
S0042,ECE,79,88,93,85,4,3
S0043,IT,61,51,54,27,1,2
S0044,MECH,77,63,50,16,5,5
S0045,CSE,44,64,61,38,1,2
S0046,MECH,75,82,62,47,2,2
S0047,ECE,43,45,72,26,3,1
S0048,ECE,69,81,67,53,3,1
S0049,CSE,63,67,47,41,2,3
S0050,CSE,66,55,63,63,2,2
S0051,MECH,41,56,76,70,4,1
S0052,ECE,56,46,26,47,3,1
S0053,IT,79,78,72,76,4,4
S0054,CSE,86,56,81,100,3,3
S0055,CSE,70,76,90,77,4,4
S0056,IT,41,64,59,48,0,5
S0057,ECE,59,70,55,57,2,0
S0058,CSE,42,57,44,28,2,4
S0059,ECE,58,47,30,67,2,3
S0060,MECH,57,75,62,50,5,5
S0061,IT,85,60,71,50,4,6
S0062,IT,44,50,46,31,0,6
S0063,CSE,79,86,60,56,5,1
S0064,CSE,56,81,53,38,3,4
S0065,CSE,74,45,49,45,2,5
S0066,IT,88,90,72,67,2,7
S0067,CSE,79,79,73,59,3,4
S0068,CSE,42,50,37,62,3,0
S0069,CSE,84,85,71,75,4,4
S0070,CSE,77,53,48,42,3,0
S0071,CSE,77,61,81,76,4,3
S0072,IT,37,44,46,25,0,0
S0073,CSE,58,56,59,58,3,0
S0074,CSE,78,61,54,53,3,2
S0075,IT,72,60,31,35,4,4
S0076,ECE,55,63,51,39,4,6
S0077,CSE,62,35,37,37,2,4
S0078,IT,71,80,82,52,4,5
S0079,IT,75,64,61,46,3,4
S0080,CSE,73,84,70,49,3,6
S0081,ECE,62,55,57,76,3,3
S0082,CSE,64,37,39,53,1,4
S0083,MECH,65,62,53,75,4,2
S0084,CSE,53,45,28,14,1,1
S0085,CSE,56,78,54,42,4,5
S0086,IT,49,58,75,51,2,2
S0087,ECE,39,47,57,17,3,5
S0088,IT,86,72,69,71,3,3
S0089,IT,79,65,71,58,4,6
S0090,IT,51,58,63,40,0,5
S0091,MECH,66,73,73,37,4,5
S0092,IT,71,73,48,68,4,3
S0093,CSE,67,59,34,36,1,3
S0094,CSE,81,58,70,35,5,3
S0095,CSE,73,77,78,55,2,0
S0096,IT,70,61,50,35,3,5
S0097,MECH,44,65,74,60,3,4
S0098,IT,74,69,75,43,2,5
S0099,CSE,50,71,55,66,4,3
S0100,IT,71,58,69,42,1,3
S0101,CSE,78,83,65,64,3,5
S0102,CSE,66,72,77,40,1,2
S0103,CSE,58,40,33,25,1,1
S0104,CSE,81,78,61,62,3,5
S0105,CSE,64,34,61,30,2,5
S0106,IT,69,62,71,44,1,3
S0107,IT,88,46,77,65,0,2
S0108,CSE,84,75,55,39,4,5
S0109,CSE,96,58,64,51,1,3
S0110,ECE,71,76,90,71,4,4
S0111,IT,54,58,32,33,2,5
S0112,IT,37,55,34,3,4,3
S0113,ECE,71,84,47,48,4,7
S0114,IT,38,61,32,35,2,0
S0115,MECH,80,74,81,70,3,4
S0116,CSE,68,32,67,64,2,4
S0117,ECE,34,22,46,15,2,1
S0118,CSE,78,60,88,60,1,2
S0119,CSE,67,56,56,25,3,5
S0120,IT,68,54,69,24,2,6
